name,alternate_names,actor,species,gender,house,dateOfBirth,yearOfBirth,wizard,ancestry,eyeColour,hairColour,wand_wood,wand_core,wand_length,patronus,hogwartsStudent,hogwartsStaff,actor,alive
Harry Potter,"['The Boy Who Lived', 'The Chosen One', 'Undesirable No. 1', 'Potty']",Daniel Radcliffe,human,male,Gryffindor,31-07-1980,1980.0,True,half-blood,green,black,holly,phoenix tail feather,11.0,stag,True,False,Daniel Radcliffe,True
Hermione Granger,"['Hermy', 'Know-it-all', 'Miss Grant', 'Herm-own-ninny']",Emma Watson,human,female,Gryffindor,19-09-1979,1979.0,True,muggleborn,brown,brown,vine,dragon heartstring,10.75,otter,True,False,Emma Watson,True
Ron Weasley,"['Dragomir Despard', 'Ronald', 'Ickle Ronniekins', 'Ronnie', 'Wheezy', 'Won-Won', 'Roonil Wazlib']",Rupert Grint,human,male,Gryffindor,01-03-1980,1980.0,True,pure-blood,blue,red,willow,unicorn tail hair,14.0,Jack Russell terrier,True,False,Rupert Grint,True
Draco Malfoy,[],Tom Felton,human,male,Slytherin,05-06-1980,1980.0,True,pure-blood,grey,blonde,hawthorn,unicorn tail hair,10.0,,True,False,Tom Felton,True
Minerva McGonagall,[],Dame Maggie Smith,human,female,Gryffindor,04-10-1925,1925.0,True,half-blood,,black,fir,dragon heartstring,9.5,tabby cat,False,True,Dame Maggie Smith,True
Cedric Diggory,[],Robert Pattinson,human,male,Hufflepuff,,1977.0,True,,grey,brown,ash,unicorn hair,12.25,,True,False,Robert Pattinson,False
Cho Chang,[],Katie Leung,human,female,Ravenclaw,07-04-1979,1979.0,True,,brown,black,,,,swan,True,False,Katie Leung,True
Severus Snape,"['Half-Blood Prince', 'Snivellus', 'Sev']",Alan Rickman,human,male,Slytherin,09-01-1960,1960.0,True,half-blood,black,black,,,,doe,False,True,Alan Rickman,False
Rubeus Hagrid,"['Professor Hagrid', 'Hagger']",Robbie Coltrane,half-giant,male,Gryffindor,06-12-1928,1928.0,True,half-blood,black,black,oak,,16.0,,False,True,Robbie Coltrane,True
Neville Longbottom,[],Matthew Lewis,human,male,Gryffindor,30-07-1980,1980.0,True,pure-blood,,blonde,cherry,unicorn tail hair,13.0,Non-Corporeal,True,False,Matthew Lewis,True
