Name,Height,Weight,Base Experience,Abilities,Types,HP,Attack,Defense,Special Attack,Special Defense,Speed
Bulbasaur,7,69,64,"['overgrow', 'chlorophyll']","['grass', 'poison']",45,49,49,65,65,45
Ivysaur,10,130,142,"['overgrow', 'chlorophyll']","['grass', 'poison']",60,62,63,80,80,60
Venusaur,20,1000,236,"['overgrow', 'chlorophyll']","['grass', 'poison']",80,82,83,100,100,80
Charmander,6,85,62,"['blaze', 'solar-power']",['fire'],39,52,43,60,50,65
Charmeleon,11,190,142,"['blaze', 'solar-power']",['fire'],58,64,58,80,65,80
Charizard,17,905,240,"['blaze', 'solar-power']","['fire', 'flying']",78,84,78,109,85,100
Squirtle,5,90,63,"['torrent', 'rain-dish']",['water'],44,48,65,50,64,43
Wartortle,10,225,142,"['torrent', 'rain-dish']",['water'],59,63,80,65,80,58
Blastoise,16,855,239,"['torrent', 'rain-dish']",['water'],79,83,100,85,105,78
Caterpie,3,29,39,"['shield-dust', 'run-away']",['bug'],45,30,35,20,20,45
Metapod,7,99,72,['shed-skin'],['bug'],50,20,55,25,25,30
Butterfree,11,320,178,"['compound-eyes', 'tinted-lens']","['bug', 'flying']",60,45,50,90,80,70
Weedle,3,32,39,"['shield-dust', 'run-away']","['bug', 'poison']",40,35,30,20,20,50
Kakuna,6,100,72,['shed-skin'],"['bug', 'poison']",45,25,50,25,25,35
Beedrill,10,295,178,"['swarm', 'sniper']","['bug', 'poison']",65,90,40,45,80,75
Pidgey,3,18,50,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",40,45,40,35,35,56
Pidgeotto,11,300,122,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",63,60,55,50,50,71
Pidgeot,15,395,216,"['keen-eye', 'tangled-feet', 'big-pecks']","['normal', 'flying']",83,80,75,70,70,101
Rattata,3,35,51,"['run-away', 'guts', 'hustle']",['normal'],30,56,35,25,35,72
Raticate,7,185,145,"['run-away', 'guts', 'hustle']",['normal'],55,81,60,50,70,97
Spearow,3,20,52,"['keen-eye', 'sniper']","['normal', 'flying']",40,60,30,31,31,70
Fearow,12,380,155,"['keen-eye', 'sniper']","['normal', 'flying']",65,90,65,61,61,100
Ekans,20,69,58,"['intimidate', 'shed-skin', 'unnerve']",['poison'],35,60,44,40,54,55
Arbok,35,650,157,"['intimidate', 'shed-skin', 'unnerve']",['poison'],60,95,69,65,79,80
Pikachu,4,60,112,"['static', 'lightning-rod']",['electric'],35,55,40,50,50,90
Raichu,8,300,218,"['static', 'lightning-rod']",['electric'],60,90,55,90,80,110
Sandshrew,6,120,60,"['sand-veil', 'sand-rush']",['ground'],50,75,85,20,30,40
Sandslash,10,295,158,"['sand-veil', 'sand-rush']",['ground'],75,100,110,45,55,65
Nidoran-F,4,70,55,"['poison-point', 'rivalry', 'hustle']",['poison'],55,47,52,40,40,41
Nidorina,8,200,128,"['poison-point', 'rivalry', 'hustle']",['poison'],70,62,67,55,55,56
Nidoqueen,13,600,227,"['poison-point', 'rivalry', 'sheer-force']","['poison', 'ground']",90,92,87,75,85,76
Nidoran-M,5,90,55,"['poison-point', 'rivalry', 'hustle']",['poison'],46,57,40,40,40,50
Nidorino,9,195,128,"['poison-point', 'rivalry', 'hustle']",['poison'],61,72,57,55,55,65
Nidoking,14,620,227,"['poison-point', 'rivalry', 'sheer-force']","['poison', 'ground']",81,102,77,85,75,85
Clefairy,6,75,113,"['cute-charm', 'magic-guard', 'friend-guard']",['fairy'],70,45,48,60,65,35
Clefable,13,400,217,"['cute-charm', 'magic-guard', 'unaware']",['fairy'],95,70,73,95,90,60
Vulpix,6,99,60,"['flash-fire', 'drought']",['fire'],38,41,40,50,65,65
Ninetales,11,199,177,"['flash-fire', 'drought']",['fire'],73,76,75,81,100,100
Jigglypuff,5,55,95,"['cute-charm', 'competitive', 'friend-guard']","['normal', 'fairy']",115,45,20,45,25,20
Wigglytuff,10,120,196,"['cute-charm', 'competitive', 'frisk']","['normal', 'fairy']",140,70,45,85,50,45
Zubat,8,75,49,"['inner-focus', 'infiltrator']","['poison', 'flying']",40,45,35,30,40,55
Golbat,16,550,159,"['inner-focus', 'infiltrator']","['poison', 'flying']",75,80,70,65,75,90
Oddish,5,54,64,"['chlorophyll', 'run-away']","['grass', 'poison']",45,50,55,75,65,30
Gloom,8,86,138,"['chlorophyll', 'stench']","['grass', 'poison']",60,65,70,85,75,40
Vileplume,12,186,221,"['chlorophyll', 'effect-spore']","['grass', 'poison']",75,80,85,110,90,50
Paras,3,54,57,"['effect-spore', 'dry-skin', 'damp']","['bug', 'grass']",35,70,55,45,55,25
Parasect,10,295,142,"['effect-spore', 'dry-skin', 'damp']","['bug', 'grass']",60,95,80,60,80,30
Venonat,10,300,61,"['compound-eyes', 'tinted-lens', 'run-away']","['bug', 'poison']",60,55,50,40,55,45
Venomoth,15,125,158,"['shield-dust', 'tinted-lens', 'wonder-skin']","['bug', 'poison']",70,65,60,90,75,90
Diglett,2,8,53,"['sand-veil', 'arena-trap', 'sand-force']",['ground'],10,55,25,35,45,95
Dugtrio,7,333,149,"['sand-veil', 'arena-trap', 'sand-force']",['ground'],35,100,50,50,70,120
Meowth,4,42,58,"['pickup', 'technician', 'unnerve']",['normal'],40,45,35,40,40,90
Persian,10,320,154,"['limber', 'technician', 'unnerve']",['normal'],65,70,60,65,65,115
Psyduck,8,196,64,"['damp', 'cloud-nine', 'swift-swim']",['water'],50,52,48,65,50,55
Golduck,17,766,175,"['damp', 'cloud-nine', 'swift-swim']",['water'],80,82,78,95,80,85
Mankey,5,280,61,"['vital-spirit', 'anger-point', 'defiant']",['fighting'],40,80,35,35,45,70
Primeape,10,320,159,"['vital-spirit', 'anger-point', 'defiant']",['fighting'],65,105,60,60,70,95
Growlithe,7,190,70,"['intimidate', 'flash-fire', 'justified']",['fire'],55,70,45,70,50,60
Arcanine,19,1550,194,"['intimidate', 'flash-fire', 'justified']",['fire'],90,110,80,100,80,95
Poliwag,6,124,60,"['water-absorb', 'damp', 'swift-swim']",['water'],40,50,40,40,40,90
Poliwhirl,10,200,135,"['water-absorb', 'damp', 'swift-swim']",['water'],65,65,65,50,50,90
Poliwrath,13,540,230,"['water-absorb', 'damp', 'swift-swim']","['water', 'fighting']",90,95,95,70,90,70
Abra,9,195,62,"['synchronize', 'inner-focus', 'magic-guard']",['psychic'],25,20,15,105,55,90
Kadabra,13,565,140,"['synchronize', 'inner-focus', 'magic-guard']",['psychic'],40,35,30,120,70,105
